编号	名字	种类名称	种类	开启级数	强化等级	职业需求	性别	初始点数	图片	描述
59	龙牙刀	刀	7	30	1	猛将	3	20	longYaDao	上古三大邪刀之一，由恶毒之物铸造而成，妖邪异常！！
60	日月双刀	刀	7	30	1	猛将	3	20	riYueShuangDao	日月同铸，享受日月之精华，两刀可合二为一，锋利无比！！
61	钩镰刀	刀	7	30	1	猛将	3	20	gouLianDao	刀为纯钢打造，刀背有倒钩，钩尖内曲，可用来砍杀或拉倒敌人。
62	甲刀	刀	7	30	1	猛将	3	20	jiaDao	玄铁打造，刀重厚实，刀刃锋利，吹毛可断！！
63	九环刀	刀	7	50	1	猛将	3	30	jiuHuanDao	钢铁打造，与一般刀相同，惟其刀身厚，刀背上穿有九个铁环，刀尖部平，不朝前突，刀柄略细弯度较大，柄后有刀环。
64	截头大刀	刀	7	50	1	猛将	3	30	jieTouDaDao	纯铁打造，刀头比普通大刀短一段，但刀背却要厚不少。
65	昆吾刀	刀	7	50	1	猛将	3	30	kunWuDao	用昆吾石冶炼成铁制作而成，﹐刀长一尺，切玉如切泥。
66	龙雀刀	刀	7	80	1	猛将	3	40	longQueDao	古之利器，吴楚湛卢，大夏龙雀，名冠神都。可以怀远，可以柔逋；如风靡草，威服九区。
67	鬼泣刀	刀	7	100	1	猛将	3	60	guiQiDao	上古洪荒时代所铸宝刀，因刀染无数献血，出窍伴有鬼鸣声，阴寒至极！！
68	七星宝刀	刀	7	120	1	猛将	3	80	qiXingBaoDao	有上古玄铁打造而成，将北斗七星之天力存于其中。
69	虎翼	刀	7	150	1	猛将	3	100	huYi	上古三大邪刀之一，由恶毒之物铸造而成，妖邪异常！！
70	神臂弓	弓箭	8	10	1	猛将	3	10	shenBiGong	"实弩也，以山桑为身,檀为弰,铁为枪膛,钢为机,麻索系札,丝为弦，射三百步，透重札。十大名弓之一"
71	龙舌弓	弓箭	8	30	1	猛将	3	20	longSheGong	龙筋制作弓弦，速度和准确性极高，弓劲极强！！十大名弓之一
72	灵宝弓	弓箭	8	50	1	猛将	3	30	lingBaoGong	弓神轻巧，百步之内可射穿石头！！十大名弓之一
73	震天弓	弓箭	8	80	1	猛将	3	40	zhenTianGong	将军三箭定天山，战士长歌入汉关！！十大名弓之一
74	霸王弓	弓箭	8	100	1	猛将	3	60	baWangGong	弓身乃玄铁打造，重127斤，弓弦传说是一条黑蛟龙的背筋，坚韧异常，此弦不畏冰火，不畏刀枪，威力无比！！十大名弓之一
75	落日弓	弓箭	8	120	1	猛将	3	80	luoRiGong	上古后羿所持神弓，赤红色，相传射掉9个太阳。十大名弓之一
76	轩辕弓	弓箭	8	150	1	猛将	3	100	xuanYuanGong	轩辕黄帝所铸神弓，取泰山南乌号之柘，燕牛之角，荆麋之弭，河鱼之胶所铸而成！！十大名弓之一
